,Month,Month_Name,Location,Year,MinTemp,MaxTemp,Rainfall
13,1,January,Darwin,2013,780.6888889,991.9888889,453.4444444
8,1,January,Cairns,2013,746.9111111,986.3888889,428.2444444
16,1,January,Katherine,2015.5,755.825,1058.2,303.2
39,1,January,Townsville,2013,771.2888889,989.0666667,270.1111111
7,1,January,Brisbane,2013,662.9,927.5,198.2
14,1,January,GoldCoast,2013,678.5222222,905.4888889,179.5111111
11,1,January,CoffsHarbour,2013,618.4888889,860.1888889,161.4
24,1,January,Newcastle,2013,561.0666667,867.2333333,118.5
45,1,January,Williamtown,2013,576.1111111,914.9222222,109.3111111
47,1,January,Wollongong,2013,597.1555556,781.9333333,102.1777778
26,1,January,NorahHead,2013,606.7666667,815.5555556,101.2
30,1,January,Penrith,2013,571.3555556,955.9333333,97.93333333
37,1,January,Sydney,2013,629.8111111,853.0333333,96.95555556
34,1,January,Richmond,2013,551.8,945.9444444,94.44444444
38,1,January,SydneyAirport,2013,627.2666667,875.6222222,87.13333333
4,1,January,BadgerysCreek,2013,539.9555556,945.1555556,81.46666667
21,1,January,Moree,2013,636.1222222,1063.6,81.46666667
23,1,January,MountGinini,2013,301.4666667,630.4888889,80.51111111
3,1,January,AliceSprings,2013,675.4777778,1116.077778,67.53333333
27,1,January,NorfolkIsland,2013,607.9444444,766.7333333,67.08888889
40,1,January,Tuggeranong,2013,452.9222222,917.7444444,65.11111111
9,1,January,Canberra,2012.5,433.66,926.48,49.26
5,1,January,Ballarat,2013,369.4888889,831.2888889,48.11111111
2,1,January,Albury,2013,523.1,1020.7,45.73333333
15,1,January,Hobart,2013,410.2111111,717.5777778,43.28888889
57,2,February,Cairns,2013,680.95,892.7375,473.75
62,2,February,Darwin,2013,708.7375,901.8625,472.8
88,2,February,Townsville,2013,695.8,894.975,323.4
60,2,February,CoffsHarbour,2013,559.775,773.4,230.3125
65,2,February,Katherine,2015.5,640.8,964.65,217.3
63,2,February,GoldCoast,2013,621.525,827.45,146.3
56,2,February,Brisbane,2013,608.425,859.5375,132.3
86,2,February,Sydney,2012.444444,571.9444444,761.6222222,122.5111111
76,2,February,NorfolkIsland,2013,581.7875,717.9375,114.725
96,2,February,Wollongong,2013,545.225,702.1625,113
79,2,February,Penrith,2013,525.45,829.0875,110.75
73,2,February,Newcastle,2013,487.175,747.9875,109.6375
72,2,February,MountGinini,2013,258.275,533.575,106.25
83,2,February,Richmond,2013,513.825,829.825,101.55
75,2,February,NorahHead,2013,573.2,753.4875,99.725
89,2,February,Tuggeranong,2013,407.65,784.3625,95.65
87,2,February,SydneyAirport,2013,576.1875,779.6125,89.8
94,2,February,Williamtown,2013,523.8875,811.775,85.025
53,2,February,BadgerysCreek,2013,494.5125,824.3875,82.3
70,2,February,Moree,2013,572.8,956.5625,69.95
58,2,February,Canberra,2012.444444,383.2,784.8666667,68.68888889
51,2,February,Albury,2013,468.925,882.925,64.05
52,2,February,AliceSprings,2013,574.1875,1007.7875,52.55
91,2,February,WaggaWagga,2013,488.4375,891.0375,52.325
84,2,February,Sale,2013,391.7875,724.1875,48.025
106,3,March,Cairns,2013,735.7333333,964.9666667,352.0444444
137,3,March,Townsville,2013,734.5222222,961.2444444,272.9555556
111,3,March,Darwin,2013,778.4444444,1008.733333,266.2666667
109,3,March,CoffsHarbour,2013,578.7333333,821.2222222,212.1
114,3,March,Katherine,2015,703.14,1061.72,210.76
145,3,March,Wollongong,2013,570.5555556,748.9222222,183.4444444
