,Month,Month_Name,Location,Year,MinTemp,MaxTemp,Rainfall
13,1,January,Darwin,2013,780.6888889,991.9888889,453.4444444
8,1,January,Cairns,2013,746.9111111,986.3888889,428.2444444
16,1,January,Katherine,2015.5,755.825,1058.2,303.2
39,1,January,Townsville,2013,771.2888889,989.0666667,270.1111111
7,1,January,Brisbane,2013,662.9,927.5,198.2
14,1,January,GoldCoast,2013,678.5222222,905.4888889,179.5111111
11,1,January,CoffsHarbour,2013,618.4888889,860.1888889,161.4
24,1,January,Newcastle,2013,561.0666667,867.2333333,118.5
45,1,January,Williamtown,2013,576.1111111,914.9222222,109.3111111
47,1,January,Wollongong,2013,597.1555556,781.9333333,102.1777778
26,1,January,NorahHead,2013,606.7666667,815.5555556,101.2
30,1,January,Penrith,2013,571.3555556,955.9333333,97.93333333
37,1,January,Sydney,2013,629.8111111,853.0333333,96.95555556
34,1,January,Richmond,2013,551.8,945.9444444,94.44444444
38,1,January,SydneyAirport,2013,627.2666667,875.6222222,87.13333333
4,1,January,BadgerysCreek,2013,539.9555556,945.1555556,81.46666667
21,1,January,Moree,2013,636.1222222,1063.6,81.46666667
23,1,January,MountGinini,2013,301.4666667,630.4888889,80.51111111
3,1,January,AliceSprings,2013,675.4777778,1116.077778,67.53333333
27,1,January,NorfolkIsland,2013,607.9444444,766.7333333,67.08888889
40,1,January,Tuggeranong,2013,452.9222222,917.7444444,65.11111111
9,1,January,Canberra,2012.5,433.66,926.48,49.26
5,1,January,Ballarat,2013,369.4888889,831.2888889,48.11111111
2,1,January,Albury,2013,523.1,1020.7,45.73333333
15,1,January,Hobart,2013,410.2111111,717.5777778,43.28888889
33,1,January,Portland,2013,383.8333333,708.7333333,43.02222222
17,1,January,Launceston,2013,397.8555556,781.2111111,42.83333333
6,1,January,Bendigo,2013,453.1777778,954.5777778,39.6
42,1,January,WaggaWagga,2013,540.2777778,1034.888889,38.93333333
44,1,January,Watsonia,2013,453.1444444,871.4444444,38.73333333
12,1,January,Dartmoor,2013,341.1444444,736,38.37777778
36,1,January,SalmonGums,2013,451.5,979.6,36.75555556
25,1,January,Nhil,2015.5,444.6,969.825,34.2
20,1,January,Mildura,2013,545.8333333,1049.222222,34.17777778
22,1,January,MountGambier,2013,376.1777778,821,33.55555556
35,1,January,Sale,2013,421.4777778,822.6666667,33.46666667
41,1,January,Uluru,2015.5,704.7,1144.85,33.3
10,1,January,Cobar,2013,663.6555556,1094.177778,32.71111111
43,1,January,Walpole,2013,452.5555556,774.4333333,31.48888889
19,1,January,MelbourneAirport,2013,448.0777778,854.0222222,28.31111111
1,1,January,Albany,2013,502.0222222,710.6444444,27.12222222
0,1,January,Adelaide,2013,559.9222222,959.5777778,23.24444444
18,1,January,Melbourne,2013,408.9777778,679.5333333,22.62222222
48,1,January,Woomera,2013,637.0444444,1113.166667,20.55555556
32,1,January,PerthAirport,2013,569.5,1030.855556,17.26666667
28,1,January,Nuriootpa,2013,452.1777778,944.6666667,15.97777778
31,1,January,Perth,2013,585,1005.388889,15.08888889
29,1,January,PearceRAAF,2013,543.6111111,1055.322222,10.73333333
46,1,January,Witchcliffe,2013,439.5,852.3222222,6.466666667
57,2,February,Cairns,2013,680.95,892.7375,473.75
62,2,February,Darwin,2013,708.7375,901.8625,472.8
88,2,February,Townsville,2013,695.8,894.975,323.4
60,2,February,CoffsHarbour,2013,559.775,773.4,230.3125
65,2,February,Katherine,2015.5,640.8,964.65,217.3
63,2,February,GoldCoast,2013,621.525,827.45,146.3
