Date,Location,MinTemp,MaxTemp,Rainfall,Month,Year
1/07/2008,Melbourne,9.5,15.4,2,7,2008
2/07/2008,Melbourne,11,14.5,0.6,7,2008
3/07/2008,Melbourne,8.4,14.1,1.4,7,2008
4/07/2008,Melbourne,9.1,14.5,0.6,7,2008
5/07/2008,Melbourne,4.3,15.5,0,7,2008
6/07/2008,Melbourne,5.5,15.4,0,7,2008
7/07/2008,Melbourne,11.5,14.3,0,7,2008
8/07/2008,Melbourne,6.9,10.4,5,7,2008
9/07/2008,Melbourne,3.6,14.8,1.2,7,2008
10/07/2008,Melbourne,4.2,13.5,3,7,2008
11/07/2008,Melbourne,7.4,13.5,0.2,7,2008
12/07/2008,Melbourne,6.6,11.3,0,7,2008
13/07/2008,Melbourne,8.4,14.3,0,7,2008
14/07/2008,Melbourne,7.4,18.9,0,7,2008
15/07/2008,Melbourne,8.4,17.6,0,7,2008
16/07/2008,Melbourne,6.2,16.4,0,7,2008
17/07/2008,Melbourne,7.5,13.6,0,7,2008
18/07/2008,Melbourne,9.1,12.4,0.8,7,2008
19/07/2008,Melbourne,6.4,14.1,1.6,7,2008
20/07/2008,Melbourne,8.3,14,0.8,7,2008
21/07/2008,Melbourne,8.5,13.4,13.8,7,2008
22/07/2008,Melbourne,6.2,12.6,2.4,7,2008
23/07/2008,Melbourne,6.6,11.9,0.8,7,2008
24/07/2008,Melbourne,4.2,16.1,0,7,2008
25/07/2008,Melbourne,3.8,16.1,0,7,2008
26/07/2008,Melbourne,4.7,13.3,0,7,2008
27/07/2008,Melbourne,6.6,10.2,8.2,7,2008
28/07/2008,Melbourne,6,13.8,1.6,7,2008
29/07/2008,Melbourne,3.4,14.4,0,7,2008
30/07/2008,Melbourne,4.4,15.2,0,7,2008
31/07/2008,Melbourne,6.5,15.4,0.4,7,2008
1/08/2008,Melbourne,9.7,14.7,0.4,8,2008
2/08/2008,Melbourne,8.6,15.3,0.6,8,2008
3/08/2008,Melbourne,7.9,14.9,0,8,2008
4/08/2008,Melbourne,9.7,13.6,0.2,8,2008
5/08/2008,Melbourne,5.6,15,0.2,8,2008
6/08/2008,Melbourne,7.2,16.6,0,8,2008
7/08/2008,Melbourne,6.8,15.4,0,8,2008
8/08/2008,Melbourne,4.4,14.7,0.4,8,2008
9/08/2008,Melbourne,5.3,13.4,1.8,8,2008
10/08/2008,Melbourne,5.6,12.2,4.8,8,2008
11/08/2008,Melbourne,5.1,13.5,11.4,8,2008
12/08/2008,Melbourne,7.3,13.2,0.6,8,2008
13/08/2008,Melbourne,5.5,13,1.6,8,2008
14/08/2008,Melbourne,7.4,14.1,0.2,8,2008
15/08/2008,Melbourne,9.9,14.2,0.2,8,2008
16/08/2008,Melbourne,8.5,14.3,2.2,8,2008
17/08/2008,Melbourne,7.8,12.9,4.2,8,2008
18/08/2008,Melbourne,6.7,14.3,0.4,8,2008
19/08/2008,Melbourne,6.2,15.2,0,8,2008
20/08/2008,Melbourne,9.7,15.3,0,8,2008
21/08/2008,Melbourne,9.7,9.9,0,8,2008
22/08/2008,Melbourne,5.9,12.8,14,8,2008
23/08/2008,Melbourne,4.8,14.2,0.6,8,2008
24/08/2008,Melbourne,7.4,14.2,0.2,8,2008
25/08/2008,Melbourne,3.2,14.3,0,8,2008
26/08/2008,Melbourne,5.9,17.3,0,8,2008
27/08/2008,Melbourne,7.4,15.3,0,8,2008
28/08/2008,Melbourne,9.3,14.9,0,8,2008
29/08/2008,Melbourne,7.3,19.3,0.4,8,2008
30/08/2008,Melbourne,8.6,18.2,0,8,2008
31/08/2008,Melbourne,13,18.6,0.4,8,2008
1/09/2008,Melbourne,8,16.4,0.8,9,2008
2/09/2008,Melbourne,10.1,17.2,0.8,9,2008
3/09/2008,Melbourne,9.2,15.8,0.4,9,2008
4/09/2008,Melbourne,5.4,18.5,0,9,2008
5/09/2008,Melbourne,7.5,19,0,9,2008
6/09/2008,Melbourne,7.3,18.9,0,9,2008
7/09/2008,Melbourne,10.2,17.5,0,9,2008
8/09/2008,Melbourne,9.7,15.2,0.2,9,2008
9/09/2008,Melbourne,10.3,14.6,0.2,9,2008
10/09/2008,Melbourne,6,19.7,0,9,2008
11/09/2008,Melbourne,9.3,18.9,0,9,2008
12/09/2008,Melbourne,14,24.5,0,9,2008
13/09/2008,Melbourne,16.3,25.5,0,9,2008
14/09/2008,Melbourne,15.5,18.8,0,9,2008
15/09/2008,Melbourne,12.5,16.8,0,9,2008
16/09/2008,Melbourne,7.2,14.3,2,9,2008
17/09/2008,Melbourne,4.8,18.4,0,9,2008
18/09/2008,Melbourne,8.9,18.9,0,9,2008
19/09/2008,Melbourne,14.4,24.9,0,9,2008
20/09/2008,Melbourne,10.8,19.2,0.2,9,2008
21/09/2008,Melbourne,6.5,19.8,0.4,9,2008
22/09/2008,Melbourne,12.9,23.1,0,9,2008
23/09/2008,Melbourne,5.1,18.2,6.4,9,2008
24/09/2008,Melbourne,7.2,18.6,0,9,2008
25/09/2008,Melbourne,8,23.4,0,9,2008
26/09/2008,Melbourne,14.7,28.2,0,9,2008
27/09/2008,Melbourne,11.7,24,0,9,2008
28/09/2008,Melbourne,11.6,20.7,0,9,2008
29/09/2008,Melbourne,9,15.2,0.6,9,2008
30/09/2008,Melbourne,8.3,17.5,0,9,2008
1/10/2008,Melbourne,6.7,22.4,0,10,2008
2/10/2008,Melbourne,14.4,24.5,0,10,2008
3/10/2008,Melbourne,10.9,26.2,0,10,2008
4/10/2008,Melbourne,11.5,17.6,4.4,10,2008
5/10/2008,Melbourne,5.7,21.8,0,10,2008
6/10/2008,Melbourne,10,14.3,1,10,2008
7/10/2008,Melbourne,8,16,2,10,2008
8/10/2008,Melbourne,10.1,16.2,0,10,2008
9/10/2008,Melbourne,10.1,20,0,10,2008
10/10/2008,Melbourne,8,26.3,0,10,2008
11/10/2008,Melbourne,9.7,27.9,0,10,2008
12/10/2008,Melbourne,14.2,30.6,0,10,2008
13/10/2008,Melbourne,15.7,19.3,0,10,2008
14/10/2008,Melbourne,10.1,17.5,0,10,2008
15/10/2008,Melbourne,9.9,20.1,0,10,2008
16/10/2008,Melbourne,12.3,20.6,0,10,2008
17/10/2008,Melbourne,10.7,22.7,0,10,2008
18/10/2008,Melbourne,12.3,31.7,1.6,10,2008
19/10/2008,Melbourne,15,18.1,0,10,2008
20/10/2008,Melbourne,11.6,17.5,0,10,2008
21/10/2008,Melbourne,11.1,17.5,0,10,2008
22/10/2008,Melbourne,9.3,16.5,2.6,10,2008
23/10/2008,Melbourne,6.6,21.2,0,10,2008
24/10/2008,Melbourne,10.3,25.3,0,10,2008
25/10/2008,Melbourne,11.9,28.9,0,10,2008
26/10/2008,Melbourne,21.5,30.5,0,10,2008
27/10/2008,Melbourne,17.7,22,0,10,2008
28/10/2008,Melbourne,13,19.3,2.2,10,2008
29/10/2008,Melbourne,10.7,21.7,0,10,2008
30/10/2008,Melbourne,13.2,29.9,0,10,2008
31/10/2008,Melbourne,16.1,21.2,0.4,10,2008
1/11/2008,Melbourne,12.4,18.4,0.2,11,2008
2/11/2008,Melbourne,12.5,29.1,0,11,2008
3/11/2008,Melbourne,14.6,18.3,2.8,11,2008
4/11/2008,Melbourne,10.7,17.3,2,11,2008
5/11/2008,Melbourne,8.6,26.7,0,11,2008
6/11/2008,Melbourne,11.5,24,0,11,2008
7/11/2008,Melbourne,12.5,21.5,0,11,2008
8/11/2008,Melbourne,12.8,19.7,7.6,11,2008
9/11/2008,Melbourne,11.3,27.1,0,11,2008
10/11/2008,Melbourne,13,23.4,0,11,2008
11/11/2008,Melbourne,12.9,32,0,11,2008
12/11/2008,Melbourne,16.7,35.4,0,11,2008
